ID Cliente,Abandono,Género,Mayor de 65 años,Tiene Pareja,Tiene Dependientes,Duración del Contrato (meses),Servicio Telefónico,Múltiples Líneas,Servicio de Internet,Seguridad en Línea,Respaldo en Línea,Protección del Dispositivo,Soporte Técnico,TV por Cable,Streaming de Películas,Tipo de Contrato,Facturación Sin Papel,Método de Pago,Costo Mensual,Costo Total,Costo Diario,Rango de Contrato,Cantidad de Servicios Contratados
0019-GFNTW,0,F,False,0,0,56,0,-1,DSL,1,1,1,1,0,0,Bianual,0,Transferencia bancaria (automático),45.05,2560.1,1.5,51-60,4
0020-INWCK,0,F,False,1,1,71,1,1,Fibra Óptica,0,1,1,0,0,1,Bianual,1,Tarjeta de crédito (automático),95.75,6849.4,3.19,71+,4
0020-JDNXP,0,F,False,1,1,34,0,-1,DSL,1,0,1,1,1,1,Anual,0,Cheque por Correo,61.25,1993.2,2.04,31-40,5
0021-IKXGC,0,F,True,0,0,1,1,1,Fibra Óptica,0,0,0,0,0,0,Mensual,1,Cheque electrónico,72.1,72.1,2.4,0-10,1
0022-TCJCI,1,M,True,0,0,45,1,0,DSL,1,0,1,0,0,1,Anual,0,Tarjeta de crédito (automático),62.7,2791.5,2.09,41-50,3
0023-HGHWL,1,M,True,0,0,1,0,-1,DSL,0,0,0,0,0,0,Mensual,1,Cheque electrónico,25.1,25.1,0.84,0-10,0
0023-UYUPN,0,F,True,1,0,50,1,1,No internet service,-1,-1,-1,-1,-1,-1,Anual,0,Cheque electrónico,25.2,1306.3,0.84,51-60,1
0023-XUOPT,1,F,False,1,0,13,1,1,Fibra Óptica,0,1,1,0,1,0,Mensual,0,Cheque electrónico,94.1,1215.6,3.14,11-20,4
0027-KWYKW,0,F,False,1,1,23,1,1,Fibra Óptica,0,0,0,0,1,0,Mensual,1,Cheque electrónico,83.75,1849.95,2.79,21-30,2
0030-FNXPP,0,F,False,0,0,3,1,0,No internet service,-1,-1,-1,-1,-1,-1,Mensual,0,Cheque por Correo,19.85,57.2,0.66,0-10,0
0031-PVLZI,1,F,False,1,1,4,1,0,No internet service,-1,-1,-1,-1,-1,-1,Mensual,0,Cheque por Correo,20.35,76.35,0.68,0-10,0
0032-PGELS,1,F,False,1,1,1,0,-1,DSL,1,0,0,0,0,0,Mensual,0,Transferencia bancaria (automático),30.5,30.5,1.02,0-10,1
0036-IHMOT,0,F,False,1,1,55,1,0,Fibra Óptica,0,1,1,1,1,1,Anual,1,Transferencia bancaria (automático),103.7,5656.75,3.46,51-60,5
0040-HALCW,0,M,False,1,1,54,1,0,No internet service,-1,-1,-1,-1,-1,-1,Bianual,0,Tarjeta de crédito (automático),20.4,1090.6,0.68,51-60,0
0042-JVWOJ,0,M,False,0,0,26,1,0,No internet service,-1,-1,-1,-1,-1,-1,Anual,1,Transferencia bancaria (automático),19.6,471.85,0.65,21-30,0
0042-RLHYP,0,F,False,1,1,69,1,0,No internet service,-1,-1,-1,-1,-1,-1,Bianual,0,Transferencia bancaria (automático),19.7,1396.9,0.66,61-70,0
0048-LUMLS,0,M,False,1,1,37,1,0,Fibra Óptica,0,0,0,0,1,1,Anual,0,Tarjeta de crédito (automático),91.2,3247.55,3.04,31-40,2
0048-PIHNL,0,F,False,1,0,49,1,0,No internet service,-1,-1,-1,-1,-1,-1,Anual,0,Transferencia bancaria (automático),20.45,900.9,0.68,41-50,0
0052-DCKON,0,M,False,1,0,66,1,1,Fibra Óptica,1,1,1,1,1,1,Anual,0,Transferencia bancaria (automático),115.8,7942.15,3.86,61-70,7
0052-YNYOT,0,F,False,0,0,67,1,0,No internet service,-1,-1,-1,-1,-1,-1,Anual,0,Cheque electrónico,20.55,1343.4,0.68,61-70,0
0056-EPFBG,0,M,False,1,1,20,0,-1,DSL,1,0,1,1,0,0,Bianual,1,Tarjeta de crédito (automático),39.4,825.4,1.31,21-30,3
0057-QBUQH,0,F,False,0,1,43,1,1,No internet service,-1,-1,-1,-1,-1,-1,Bianual,1,Cheque electrónico,25.1,1070.15,0.84,41-50,1
0058-EVZWM,0,F,False,1,0,55,1,1,Fibra Óptica,1,0,0,0,1,0,Mensual,1,Transferencia bancaria (automático),89.8,4959.6,2.99,51-60,3
0060-FUALY,0,F,False,1,0,59,1,1,Fibra Óptica,1,1,0,0,1,0,Mensual,1,Cheque electrónico,94.75,5597.65,3.16,51-60,4
0064-SUDOG,0,F,False,1,1,12,1,0,No internet service,-1,-1,-1,-1,-1,-1,Bianual,0,Transferencia bancaria (automático),20.3,224.5,0.68,11-20,0
0064-YIJGF,0,M,False,1,1,27,1,1,Fibra Óptica,0,0,0,0,0,0,Mensual,1,Transferencia bancaria (automático),75.75,1929.0,2.52,21-30,1
0067-DKWBL,1,M,True,0,0,2,1,0,DSL,1,0,0,0,0,0,Mensual,1,Cheque electrónico,49.25,91.1,1.64,0-10,1
0068-FIGTF,0,F,False,0,0,27,1,0,DSL,0,1,1,1,1,1,Anual,0,Cheque por Correo,78.2,2078.95,2.61,21-30,5
0071-NDAFP,0,M,False,1,1,25,1,1,No internet service,-1,-1,-1,-1,-1,-1,Bianual,0,Tarjeta de crédito (automático),25.5,630.6,0.85,21-30,1
0074-HDKDG,0,M,False,1,1,25,1,0,DSL,1,1,1,0,0,0,Anual,1,Transferencia bancaria (automático),61.6,1611.0,2.05,21-30,3
0076-LVEPS,0,M,False,0,1,29,0,-1,DSL,1,1,1,1,0,0,Mensual,1,Cheque por Correo,45.0,1242.45,1.5,21-30,4
0078-XZMHT,0,M,False,1,0,72,1,1,DSL,0,1,1,1,1,1,Bianual,1,Transferencia bancaria (automático),85.15,6316.2,2.84,71+,6
0080-EMYVY,0,F,False,0,0,14,1,0,DSL,0,1,0,0,0,0,Anual,0,Tarjeta de crédito (automático),51.45,727.85,1.72,11-20,1
0080-OROZO,0,F,False,0,0,35,1,0,Fibra Óptica,0,0,1,1,1,1,Anual,1,Cheque electrónico,99.25,3532.0,3.31,31-40,4
0082-LDZUE,0,M,False,0,0,1,1,0,DSL,0,0,0,0,0,0,Mensual,1,Cheque por Correo,44.3,44.3,1.48,0-10,0
0082-OQIQY,0,M,False,0,0,29,1,0,Fibra Óptica,0,0,0,1,1,1,Mensual,1,Cheque electrónico,94.2,2607.6,3.14,21-30,3
0083-PIVIK,0,M,False,0,0,64,1,1,DSL,1,1,1,1,1,0,Anual,0,Cheque electrónico,81.25,5567.55,2.71,61-70,6
0089-IIQKO,0,F,False,1,1,39,1,1,Fibra Óptica,0,0,0,1,1,1,Mensual,1,Tarjeta de crédito (automático),99.95,3767.4,3.33,31-40,4
0093-EXYQL,0,F,True,0,0,40,1,0,Fibra Óptica,0,0,0,0,1,1,Mensual,1,Cheque electrónico,91.55,3673.6,3.05,41-50,2
0093-XWZFY,1,M,False,0,0,40,1,1,Fibra Óptica,0,1,1,0,1,1,Mensual,1,Tarjeta de crédito (automático),104.5,4036.85,3.48,41-50,5
0094-OIFMO,1,F,True,0,0,11,1,0,Fibra Óptica,0,1,0,0,1,1,Mensual,1,Cheque electrónico,95.0,1120.3,3.17,11-20,3
0096-BXERS,0,F,False,1,0,6,1,1,DSL,0,0,0,0,0,0,Mensual,0,Cheque electrónico,50.35,314.55,1.68,0-10,1
0096-FCPUF,0,M,False,0,0,30,1,1,DSL,1,0,0,0,0,1,Mensual,1,Cheque por Correo,64.5,1888.45,2.15,31-40,3
0098-BOWSO,0,M,False,0,0,27,1,0,No internet service,-1,-1,-1,-1,-1,-1,Mensual,1,Cheque electrónico,19.4,529.8,0.65,21-30,0
0100-DUVFC,0,M,True,1,0,70,1,1,Fibra Óptica,0,1,1,0,1,1,Anual,1,Cheque electrónico,104.8,7308.95,3.49,71+,5
0103-CSITQ,0,F,False,1,0,57,1,1,Fibra Óptica,0,1,1,1,1,1,Anual,1,Transferencia bancaria (automático),109.4,6252.7,3.65,51-60,6
0104-PPXDV,0,M,False,1,0,58,1,0,DSL,0,0,1,0,0,0,Anual,0,Tarjeta de crédito (automático),50.3,2878.55,1.68,51-60,1
0106-GHRQR,0,M,False,0,0,16,1,1,DSL,0,1,1,0,0,1,Mensual,1,Transferencia bancaria (automático),71.4,1212.1,2.38,11-20,4
0106-UGRDO,0,F,False,1,0,69,1,1,Fibra Óptica,1,1,1,1,1,1,Bianual,1,Cheque electrónico,116.0,8182.85,3.87,61-70,7
0107-WESLM,1,M,False,0,0,1,1,0,No internet service,-1,-1,-1,-1,-1,-1,Mensual,1,Cheque electrónico,19.85,19.85,0.66,0-10,0
0107-YHINA,1,M,False,0,1,1,1,1,Fibra Óptica,0,0,1,0,1,1,Mensual,1,Cheque electrónico,99.75,99.75,3.32,0-10,4
0111-KLBQG,0,M,True,1,1,32,1,0,Fibra Óptica,0,1,0,0,1,1,Mensual,1,Cheque por Correo,93.95,2861.45,3.13,31-40,3
0112-QAWRZ,0,M,False,1,1,16,1,1,Fibra Óptica,0,0,1,0,1,0,Mensual,1,Transferencia bancaria (automático),90.8,1442.2,3.03,11-20,3
0112-QWPNC,1,M,False,1,0,49,1,1,DSL,1,0,1,1,1,1,Anual,0,Cheque electrónico,84.35,4059.35,2.81,41-50,6
0114-IGABW,0,F,False,1,0,71,0,-1,DSL,0,1,1,1,1,1,Bianual,0,Transferencia bancaria (automático),58.25,4145.9,1.94,71+,5
0114-PEGZZ,0,F,False,0,0,33,1,1,Fibra Óptica,0,1,1,0,1,1,Mensual,0,Cheque electrónico,107.55,3645.5,3.58,31-40,5
0114-RSRRW,0,F,False,1,0,10,1,0,No internet service,-1,-1,-1,-1,-1,-1,Mensual,1,Transferencia bancaria (automático),19.95,187.75,0.66,11-20,0
0115-TFERT,1,M,False,1,0,21,1,1,Fibra Óptica,0,1,1,1,1,1,Mensual,1,Cheque electrónico,111.2,2317.1,3.71,21-30,6
0117-LFRMW,1,M,False,1,1,37,0,-1,DSL,1,1,1,0,0,0,Mensual,0,Transferencia bancaria (automático),40.2,1448.8,1.34,31-40,3
0118-JPNOY,0,F,True,0,0,26,1,0,Fibra Óptica,1,0,0,0,1,0,Mensual,1,Tarjeta de crédito (automático),85.8,2193.65,2.86,21-30,2
0121-SNYRK,0,M,False,0,0,50,0,-1,DSL,1,0,0,1,0,0,Anual,1,Cheque por Correo,35.4,1748.9,1.18,51-60,2
0122-OAHPZ,1,F,False,0,0,7,1,1,Fibra Óptica,0,0,0,0,0,0,Mensual,1,Cheque electrónico,73.85,511.25,2.46,0-10,1
0123-CRBRT,0,F,False,1,1,61,1,1,DSL,1,1,1,1,1,1,Bianual,0,Cheque por Correo,88.1,5526.75,2.94,61-70,7
0125-LZQXK,1,M,False,0,0,15,1,0,Fibra Óptica,0,0,1,1,1,1,Mensual,1,Cheque electrónico,101.35,1553.95,3.38,11-20,4
0128-MKWSG,0,F,False,0,1,26,0,-1,DSL,1,0,0,1,0,1,Mensual,0,Cheque por Correo,45.8,1147.0,1.53,21-30,3
0129-KPTWJ,0,M,False,1,0,72,1,0,Fibra Óptica,0,0,1,0,1,1,Mensual,1,Cheque electrónico,94.65,6747.35,3.16,71+,3
0129-QMPDR,0,M,False,1,1,44,1,0,No internet service,-1,-1,-1,-1,-1,-1,Anual,1,Transferencia bancaria (automático),20.5,865.05,0.68,41-50,0
0130-SXOUN,0,M,False,0,0,66,1,1,Fibra Óptica,0,1,0,0,0,1,Mensual,0,Tarjeta de crédito (automático),89.4,5976.9,2.98,61-70,3
0133-BMFZO,1,F,False,0,0,2,1,0,Fibra Óptica,1,1,0,1,0,0,Mensual,1,Cheque electrónico,86.25,181.65,2.88,0-10,3
0134-XWXCE,0,F,True,0,0,44,1,0,DSL,0,0,1,1,1,1,Anual,0,Transferencia bancaria (automático),74.85,3268.05,2.49,41-50,4
0135-NMXAP,1,F,False,0,0,12,1,1,Fibra Óptica,0,1,0,0,1,0,Mensual,1,Transferencia bancaria (automático),89.75,1052.4,2.99,11-20,3
0136-IFMYD,0,M,True,1,0,69,1,1,Fibra Óptica,0,1,1,1,1,1,Bianual,1,Cheque electrónico,109.95,7634.25,3.66,61-70,6
0137-OCGAB,1,F,False,0,0,1,1,1,Fibra Óptica,0,1,0,0,0,0,Mensual,1,Cheque por Correo,80.2,80.2,2.67,0-10,2
0137-UDEUO,1,F,False,0,0,3,1,0,No internet service,-1,-1,-1,-1,-1,-1,Mensual,0,Cheque por Correo,19.85,63.75,0.66,0-10,0
0139-IVFJG,0,F,False,1,0,2,1,0,Fibra Óptica,1,1,0,0,1,0,Mensual,0,Cheque electrónico,90.35,190.5,3.01,0-10,3
0141-YEAYS,0,F,True,0,0,27,1,1,Fibra Óptica,0,1,1,0,0,0,Mensual,1,Transferencia bancaria (automático),86.45,2401.05,2.88,21-30,3
0142-GVYSN,0,M,False,0,0,26,1,0,No internet service,-1,-1,-1,-1,-1,-1,Mensual,1,Cheque electrónico,20.3,511.25,0.68,21-30,0
0147-ESWWR,0,F,True,1,0,39,1,1,Fibra Óptica,0,0,0,1,1,1,Mensual,1,Cheque electrónico,101.25,3949.15,3.38,31-40,4
0148-DCDOS,1,M,False,0,0,25,1,1,Fibra Óptica,0,0,0,0,1,1,Mensual,1,Transferencia bancaria (automático),94.7,2362.1,3.16,21-30,3
0151-ONTOV,1,F,False,0,0,1,1,0,Fibra Óptica,0,0,0,0,0,0,Mensual,0,Cheque por Correo,70.9,70.9,2.36,0-10,0
0156-FVPTA,1,M,False,1,0,22,1,0,DSL,1,0,0,1,0,0,Mensual,1,Cheque electrónico,54.2,1152.7,1.81,21-30,2
0164-APGRB,0,F,False,0,0,72,1,1,Fibra Óptica,1,1,1,1,1,1,Bianual,1,Cheque electrónico,114.9,8496.7,3.83,71+,7
0164-XAIRP,0,F,False,0,0,24,1,0,No internet service,-1,-1,-1,-1,-1,-1,Bianual,1,Transferencia bancaria (automático),19.55,470.2,0.65,21-30,0
0168-XZKBB,0,F,False,1,0,19,1,1,Fibra Óptica,0,0,0,0,1,0,Mensual,1,Cheque electrónico,86.85,1564.4,2.9,11-20,2
0174-QRVVY,0,M,False,1,1,71,1,1,No internet service,-1,-1,-1,-1,-1,-1,Bianual,0,Tarjeta de crédito (automático),25.35,1847.55,0.85,71+,1
0177-PXBAT,0,M,True,1,0,33,1,1,Fibra Óptica,1,0,1,1,1,1,Mensual,1,Transferencia bancaria (automático),109.9,3694.7,3.66,31-40,6
0178-CIIKR,0,F,False,0,0,3,1,0,No internet service,-1,-1,-1,-1,-1,-1,Mensual,0,Cheque por Correo,19.95,58.0,0.66,0-10,0
0178-SZBHO,0,M,False,1,1,47,1,1,Fibra Óptica,0,1,0,0,1,0,Mensual,0,Cheque electrónico,87.2,4017.45,2.91,41-50,3
0181-RITDD,0,M,False,1,1,62,1,0,Fibra Óptica,1,1,1,1,1,1,Bianual,0,Cheque por Correo,108.15,6825.65,3.6,61-70,6
0186-CAERR,0,M,False,0,0,71,1,1,Fibra Óptica,1,1,1,1,1,1,Anual,1,Transferencia bancaria (automático),116.3,8309.55,3.88,71+,7
0187-QSXOE,0,M,True,1,0,7,1,0,Fibra Óptica,0,0,0,0,1,1,Mensual,1,Cheque electrónico,89.0,605.45,2.97,0-10,2
0187-WZNAB,0,F,False,1,1,27,1,0,Fibra Óptica,1,0,0,0,0,0,Mensual,0,Cheque por Correo,74.4,1972.35,2.48,21-30,1
0188-GWFLE,0,M,False,0,0,2,1,0,No internet service,-1,-1,-1,-1,-1,-1,Mensual,0,Cheque por Correo,20.05,33.7,0.67,0-10,0
0191-EQUUH,0,F,False,0,1,25,0,-1,DSL,1,0,0,1,0,0,Bianual,0,Transferencia bancaria (automático),35.05,844.45,1.17,21-30,2
0191-ZHSKZ,0,M,True,0,0,30,1,0,DSL,1,1,0,0,1,1,Mensual,1,Cheque electrónico,74.75,2111.3,2.49,31-40,4
0193-ESZXP,1,F,True,1,0,58,1,0,Fibra Óptica,1,1,0,1,1,1,Anual,1,Tarjeta de crédito (automático),105.5,6205.5,3.52,51-60,5
0195-IESCP,1,M,False,1,0,10,1,1,Fibra Óptica,0,0,0,0,0,1,Mensual,1,Cheque electrónico,85.25,855.3,2.84,11-20,2
0196-JTUQI,0,F,False,0,0,9,1,1,Fibra Óptica,0,0,0,0,0,0,Mensual,1,Tarjeta de crédito (automático),75.2,633.85,2.51,0-10,1
0196-VULGZ,1,F,True,1,0,6,1,1,Fibra Óptica,0,0,0,0,0,1,Mensual,1,Cheque electrónico,84.35,474.9,2.81,0-10,2
0197-PNKNK,0,F,False,1,1,69,1,1,Fibra Óptica,1,0,1,0,0,0,Anual,0,Transferencia bancaria (automático),84.45,5848.6,2.82,61-70,3
0201-MIBOL,0,F,True,0,0,66,1,1,Fibra Óptica,1,0,0,0,1,1,Bianual,1,Transferencia bancaria (automático),102.4,6471.85,3.41,61-70,4
0201-OAMXR,1,F,False,0,0,70,1,1,Fibra Óptica,1,1,1,1,1,1,Anual,0,Tarjeta de crédito (automático),115.55,8127.6,3.85,71+,7
0203-HHYIJ,1,M,False,0,0,25,1,1,No internet service,-1,-1,-1,-1,-1,-1,Anual,0,Transferencia bancaria (automático),25.3,676.35,0.84,21-30,1
0206-OYVOC,0,F,False,1,1,46,1,0,No internet service,-1,-1,-1,-1,-1,-1,Bianual,1,Cheque por Correo,19.25,864.2,0.64,41-50,0
0206-TBWLC,0,F,False,1,0,54,1,1,Fibra Óptica,1,1,1,1,1,1,Anual,1,Cheque por Correo,114.65,6049.5,3.82,51-60,7
0207-MDKNV,1,F,False,0,0,15,1,0,Fibra Óptica,1,0,1,1,1,1,Mensual,0,Cheque electrónico,105.1,1582.75,3.5,11-20,5
0208-BPQEJ,0,F,False,1,1,12,1,0,No internet service,-1,-1,-1,-1,-1,-1,Mensual,0,Transferencia bancaria (automático),19.4,198.1,0.65,11-20,0
0212-ISBBF,0,F,False,0,0,22,0,-1,DSL,0,1,0,0,1,1,Mensual,1,Cheque electrónico,50.35,1098.85,1.68,21-30,3
0214-JHPFW,0,F,False,1,0,70,0,-1,DSL,0,1,1,1,1,1,Bianual,0,Transferencia bancaria (automático),57.8,4039.3,1.93,71+,5
0215-BQKGS,0,M,False,0,0,30,1,0,Fibra Óptica,1,1,1,0,0,0,Mensual,1,Tarjeta de crédito (automático),84.3,2438.6,2.81,31-40,3
0218-QNVAS,0,M,False,1,1,71,1,1,Fibra Óptica,0,1,0,0,1,1,Anual,0,Transferencia bancaria (automático),100.55,7113.75,3.35,71+,4
0219-QAERP,0,M,False,1,0,30,1,0,No internet service,-1,-1,-1,-1,-1,-1,Anual,0,Tarjeta de crédito (automático),19.8,576.65,0.66,31-40,0
0219-YTZUE,1,M,False,1,1,4,1,1,Fibra Óptica,0,1,1,0,0,0,Mensual,1,Transferencia bancaria (automático),84.8,371.9,2.83,0-10,3
0220-EBGCE,1,M,False,0,0,2,1,0,Fibra Óptica,0,0,1,0,0,1,Mensual,1,Cheque electrónico,85.85,167.3,2.86,0-10,2
0221-NAUXK,0,M,False,0,1,10,1,0,No internet service,-1,-1,-1,-1,-1,-1,Anual,1,Transferencia bancaria (automático),19.95,219.5,0.66,11-20,0
0221-WMXNQ,0,M,True,0,0,4,1,0,Fibra Óptica,1,0,0,0,0,0,Mensual,0,Cheque electrónico,75.35,273.4,2.51,0-10,1
0222-CNVPT,0,M,True,0,0,52,0,-1,DSL,1,0,0,0,1,1,Mensual,1,Tarjeta de crédito (automático),48.8,2555.05,1.63,51-60,3
0224-HJAPT,1,M,False,0,0,5,1,1,DSL,0,0,0,0,0,0,Mensual,0,Cheque electrónico,47.15,223.15,1.57,0-10,1
0224-NIJLP,0,M,False,1,1,8,1,0,No internet service,-1,-1,-1,-1,-1,-1,Bianual,0,Cheque por Correo,20.15,165.5,0.67,0-10,0
0224-RLWWD,0,F,True,0,0,2,1,0,DSL,0,0,0,0,0,0,Mensual,1,Cheque electrónico,44.3,89.3,1.48,0-10,0
0225-ZORZP,0,M,False,0,0,3,1,0,Fibra Óptica,0,1,0,0,0,1,Mensual,0,Cheque electrónico,84.3,235.05,2.81,0-10,2
0228-MAUWC,0,M,False,0,0,19,1,1,DSL,0,0,1,1,0,0,Mensual,0,Cheque electrónico,59.55,1144.6,1.98,11-20,3
0229-LFJAF,0,M,False,0,0,72,1,1,DSL,1,1,1,1,0,0,Bianual,0,Transferencia bancaria (automático),69.65,4908.25,2.32,71+,5
0230-UBYPQ,0,M,True,1,0,63,0,-1,DSL,1,0,0,1,0,0,Anual,0,Transferencia bancaria (automático),36.1,2298.9,1.2,61-70,2
0230-WEQUW,0,M,False,1,0,66,0,-1,DSL,1,1,1,1,1,0,Bianual,1,Transferencia bancaria (automático),56.6,3789.2,1.89,61-70,5
0231-LXVAP,1,M,False,0,0,1,1,0,Fibra Óptica,0,0,0,1,0,0,Mensual,1,Cheque electrónico,75.9,75.9,2.53,0-10,1
0233-FTHAV,0,F,False,0,0,60,1,1,Fibra Óptica,0,0,1,0,0,0,Anual,1,Transferencia bancaria (automático),79.2,4765.0,2.64,61-70,2
0234-TEVTT,0,F,False,1,1,48,0,-1,DSL,1,0,1,0,0,1,Anual,0,Tarjeta de crédito (automático),45.0,2196.3,1.5,41-50,3
0235-KGSLC,1,F,False,0,0,1,1,0,Fibra Óptica,0,0,1,0,1,0,Mensual,1,Tarjeta de crédito (automático),85.55,85.55,2.85,0-10,2
0236-HFWSV,1,M,False,0,0,15,1,1,Fibra Óptica,0,0,0,0,1,1,Mensual,1,Cheque electrónico,93.35,1444.65,3.11,11-20,3
0237-YFUTL,0,F,False,1,0,50,1,1,Fibra Óptica,1,1,0,1,1,1,Mensual,1,Transferencia bancaria (automático),109.65,5405.8,3.66,51-60,6
0238-WHBIQ,0,M,False,1,1,72,1,1,DSL,1,1,1,1,1,1,Bianual,0,Tarjeta de crédito (automático),89.7,6339.3,2.99,71+,7
0239-OXEXL,0,F,False,0,0,46,1,1,Fibra Óptica,1,1,0,0,0,0,Mensual,0,Cheque por Correo,84.25,3847.6,2.81,41-50,3
0244-LGNFY,0,F,False,1,1,72,1,1,DSL,1,1,1,1,1,1,Bianual,0,Transferencia bancaria (automático),92.65,6733.0,3.09,71+,7
0247-SLUJI,0,M,False,1,1,1,1,0,No internet service,-1,-1,-1,-1,-1,-1,Mensual,0,Cheque por Correo,19.7,19.7,0.66,0-10,0
0248-IPDFW,0,F,False,0,0,1,1,1,DSL,0,0,0,0,0,0,Mensual,1,Cheque electrónico,50.1,50.1,1.67,0-10,1
0248-PGHBZ,0,F,True,0,0,67,1,0,Fibra Óptica,1,1,0,1,1,0,Bianual,1,Transferencia bancaria (automático),92.45,6140.85,3.08,61-70,4
0253-ZTEOB,0,F,False,1,1,48,1,1,DSL,0,1,0,1,1,1,Bianual,0,Cheque electrónico,79.65,3870.3,2.66,41-50,5
0254-FNMCI,0,F,False,0,0,72,1,0,Fibra Óptica,1,1,1,1,1,1,Bianual,1,Cheque electrónico,109.9,7624.2,3.66,71+,6
0254-KCJGT,0,M,False,1,0,52,1,1,DSL,1,1,1,1,0,1,Anual,1,Tarjeta de crédito (automático),81.4,4354.45,2.71,51-60,6
0254-WWRKD,0,F,False,1,1,67,1,0,DSL,0,1,0,0,0,0,Anual,0,Tarjeta de crédito (automático),50.55,3431.75,1.68,61-70,1
0256-LTHVJ,1,F,False,1,1,28,1,0,Fibra Óptica,0,0,0,0,0,1,Mensual,1,Cheque electrónico,81.05,2227.1,2.7,21-30,1
0257-KXZGU,0,F,False,1,1,32,1,1,DSL,0,1,1,0,0,0,Mensual,0,Transferencia bancaria (automático),62.45,2045.55,2.08,31-40,3
0257-ZESQC,1,F,True,1,0,27,1,0,Fibra Óptica,1,0,0,0,0,0,Mensual,1,Transferencia bancaria (automático),75.2,1929.35,2.51,21-30,1
0258-NOKBL,0,M,False,0,0,3,1,0,Fibra Óptica,0,1,1,0,0,1,Mensual,0,Cheque electrónico,90.4,268.45,3.01,0-10,3
0259-GBZSH,1,M,False,0,0,2,1,1,Fibra Óptica,0,0,0,0,1,0,Mensual,1,Cheque electrónico,85.65,181.5,2.86,0-10,2
0260-ZDLGK,1,F,False,0,1,9,1,0,DSL,0,0,1,1,1,1,Mensual,1,Cheque por Correo,72.9,651.4,2.43,0-10,4
0263-FJTQO,0,M,False,1,1,50,1,1,DSL,1,0,0,1,1,0,Bianual,1,Tarjeta de crédito (automático),70.5,3486.65,2.35,51-60,4
0264-CNITK,0,F,False,1,1,71,1,0,No internet service,-1,-1,-1,-1,-1,-1,Bianual,0,Transferencia bancaria (automático),20.1,1389.6,0.67,71+,0
0265-EDXBD,1,M,True,1,0,32,1,1,Fibra Óptica,0,0,0,0,0,0,Mensual,1,Cheque electrónico,74.9,2303.35,2.5,31-40,1
0265-PSUAE,0,F,False,1,1,16,1,0,Fibra Óptica,1,0,1,0,1,1,Mensual,0,Transferencia bancaria (automático),100.7,1522.7,3.36,11-20,4
0266-CLZKZ,0,F,False,1,1,67,1,1,Fibra Óptica,0,0,1,1,1,1,Bianual,1,Transferencia bancaria (automático),105.65,6717.9,3.52,61-70,5
0266-GMEAO,0,M,False,1,1,72,1,1,Fibra Óptica,1,1,1,1,1,1,Bianual,1,Tarjeta de crédito (automático),114.3,8058.55,3.81,71+,7
